number of voters,,number of lines,,"2002 Irish Elections, dublin north",,,,,,,,
43942,,19297,,,,,,,,,,
,,,,,,,,,,,,
,Fianna Fáil ,,,,,,,,,,,
number of voters,G.V. Wright F.F. ,David Henry Walshe C.C. Csp ,Trevor Sargent G.P. ,Sean Ryan Lab ,Eamonn Quinn Non-P ,Nora Owen F.G. ,Michael Kennedy F.F. ,Ciaran Goulding Non-P ,Jim Glennon F.F. ,Mick Davis S.F. ,Clare Daly S.P. ,Cathal Boland F.G. 
1,0,0,0,0,0,0,0,0,9,10,12,11
1,9,0,0,0,0,0,0,0,0,10,11,12
1,9,0,0,0,0,0,0,0,0,12,11,10
1,0,0,9,0,0,0,0,0,0,12,11,10
1,0,0,0,9,0,0,0,0,0,11,12,10
1,0,0,0,0,9,0,0,0,0,12,10,11
1,0,0,0,0,0,0,0,9,0,10,12,11
1,0,0,0,0,0,0,0,9,0,12,11,10
2,0,0,0,0,0,12,0,0,0,9,10,11
1,0,0,0,12,0,0,0,0,0,9,10,11
1,0,0,0,0,0,11,0,0,0,9,10,12
3,0,0,0,12,0,0,0,0,0,9,11,10
1,0,0,0,0,0,11,0,0,0,9,12,10
1,0,0,0,11,0,0,0,0,0,9,12,10
1,0,0,0,0,0,11,0,0,0,10,9,12
2,0,0,0,0,0,0,12,0,0,11,9,10
1,0,0,0,12,0,0,0,0,0,11,9,10
1,0,0,10,0,0,0,0,0,0,11,12,9
1,0,0,10,0,0,0,0,0,0,12,11,9
1,0,0,0,10,0,0,0,0,0,11,12,9
1,0,0,0,0,0,0,10,0,0,11,12,9
1,0,0,12,0,0,0,0,0,0,10,11,9
1,0,0,11,0,0,0,0,0,0,10,12,9
1,0,0,11,0,0,0,0,0,0,12,10,9
1,9,0,0,0,0,12,0,0,0,0,10,11
1,9,0,0,0,0,11,0,0,0,0,10,12
1,9,0,0,0,0,0,0,0,12,0,10,11
1,9,0,0,12,0,0,0,0,0,0,11,10
1,9,0,12,0,0,0,0,0,0,0,11,10
1,0,9,11,0,0,0,0,0,0,0,12,10
